rep,fold,fit_time,score_time,uar,war,microf1,macrof1,anger_rec,anger_prec,anger_f1,anger_ba,disgust_rec,disgust_prec,disgust_f1,disgust_ba,happiness_rec,happiness_prec,happiness_f1,happiness_ba,neutral_rec,neutral_prec,neutral_f1,neutral_ba,params,clf,features,corpus
0,0,4.1234142780303955,0.032868146896362305,0.8597883597883598,0.8580246913580247,0.8580246913580247,0.8573877287327579,0.9206349206349206,0.8721804511278195,0.8957528957528956,0.9444444444444444,0.8253968253968254,0.8888888888888888,0.8559670781893004,0.9279835390946503,0.7857142857142857,0.853448275862069,0.8181818181818182,0.9094650205761317,0.9074074074074074,0.8166666666666667,0.8596491228070176,0.934156378600823,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,1,3.832254648208618,0.03112959861755371,0.8167989417989417,0.8127572016460906,0.8127572016460904,0.8139397910101637,0.8015873015873016,0.7709923664122137,0.7859922178988326,0.8868312757201646,0.7142857142857143,0.7894736842105263,0.7500000000000001,0.8765432098765432,0.8253968253968254,0.8524590163934426,0.8387096774193549,0.9176954732510288,0.9259259259259259,0.8403361344537815,0.881057268722467,0.9444444444444444,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,2,3.658355474472046,0.02936863899230957,0.8849206349206349,0.8847736625514403,0.8847736625514403,0.8857838011685718,0.9126984126984127,0.8846153846153846,0.8984375,0.9465020576131687,0.8650793650793651,0.8790322580645161,0.8720000000000001,0.934156378600823,0.873015873015873,0.8527131782945736,0.8627450980392157,0.9279835390946503,0.8888888888888888,0.9320388349514563,0.909952606635071,0.9609053497942387,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,3,2.727438449859619,0.028973102569580078,0.8627645502645502,0.8600823045267489,0.8600823045267489,0.8621948887474704,0.8492063492063492,0.8294573643410853,0.8392156862745098,0.9156378600823045,0.8174603174603174,0.911504424778761,0.8619246861924685,0.9320987654320988,0.8492063492063492,0.8106060606060606,0.8294573643410852,0.9094650205761317,0.9351851851851852,0.9017857142857143,0.9181818181818182,0.9629629629629629,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,4,1.8884258270263672,0.015299797058105469,0.8740079365079365,0.8724279835390947,0.8724279835390947,0.8741407785692555,0.8968253968253969,0.837037037037037,0.8659003831417625,0.9279835390946503,0.8492063492063492,0.856,0.8525896414342629,0.9238683127572016,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9279835390946503,0.9166666666666666,0.9252336448598131,0.9209302325581395,0.9650205761316872,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,5,1.6779389381408691,0.012934684753417969,0.830026455026455,0.8271604938271605,0.8271604938271605,0.828386152780402,0.8492063492063492,0.823076923076923,0.8359375,0.9135802469135802,0.8015873015873016,0.8487394957983193,0.8244897959183675,0.911522633744856,0.7619047619047619,0.7868852459016393,0.7741935483870968,0.8847736625514403,0.9074074074074074,0.8521739130434782,0.8789237668161435,0.9444444444444444,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,6,1.2644031047821045,0.012633800506591797,0.7730677940958315,0.7711340206185567,0.7711340206185567,0.7724264067927213,0.7063492063492064,0.7478991596638656,0.7265306122448979,0.8618556701030928,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8886597938144329,0.7777777777777778,0.7480916030534351,0.7626459143968871,0.8742268041237113,0.822429906542056,0.8073394495412844,0.8148148148148148,0.9175257731958762,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,7,1.2294220924377441,0.012104511260986328,0.8684356920338229,0.8680412371134021,0.8680412371134021,0.8708371411851765,0.8253968253968254,0.8387096774193549,0.832,0.9134020618556701,0.9126984126984127,0.8646616541353384,0.888030888030888,0.9402061855670103,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.9134020618556701,0.8785046728971962,0.9791666666666666,0.9261083743842364,0.9690721649484536,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,8,1.2234842777252197,0.012682437896728516,0.7964259395725866,0.793233082706767,0.793233082706767,0.7956881579543181,0.7536231884057971,0.8455284552845529,0.7969348659003832,0.900375939849624,0.8478260869565217,0.7005988023952096,0.7672131147540984,0.8665413533834586,0.7028985507246377,0.8083333333333333,0.751937984496124,0.8796992481203008,0.8813559322033898,0.8524590163934426,0.8666666666666666,0.9398496240601504,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
0,9,1.203622579574585,0.01183462142944336,0.8446542056074767,0.8402489626556017,0.8402489626556016,0.8404047448194077,0.784,0.8828828828828829,0.8305084745762712,0.91701244813278,0.864,0.8120300751879699,0.8372093023255813,0.9128630705394191,0.768,0.8648648648648649,0.8135593220338984,0.9087136929460581,0.9626168224299065,0.8110236220472441,0.8803418803418803,0.941908713692946,"{""C"": 1, ""class_weight"": null, ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": null, ""max_iter"": 100, ""multi_class"": ""multinomial"", ""n_jobs"": null, ""penalty"": ""l2"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",sk/lr,wav2vec2_audeering_ft_c_mean,CREMA-D
